hours,pass
0.83,0
9.72,1
0.27,0
5.88,0
5.66,1
2.16,0
4.96,1
5.55,1
8.62,1
8.59,1
6.12,1
1.79,0
2.07,0
5.44,1
1.65,0
9.26,1
3.63,0
1.67,0
6.39,0
1.88,0
8.1,1
6.71,1
3.02,0
6.17,1
8.88,1
2.56,0
6.41,1
4.93,0
2.1,0
1.74,0
8.57,1
7.4,1
9.42,1
6.21,1
1.3,0
5.99,1
3.22,0
2.78,0
7.02,1
0.2,0
6.63,1
9.93,1
1.41,0
8.54,1
7.28,0
1.2,0
7.26,1
7.17,1
8.82,1
7.2,1
3.57,0
7.04,1
8.42,1
9.2,1
9.81,1
5.25,1
8.49,1
6.46,1
7.89,1
2.09,0
1.73,0
7.52,1
6.74,1
4.37,0
5.34,0
9.55,1
5.81,1
8.82,1
7.13,1
3.31,0
2.69,0
1.06,0
1.99,0
4.43,1
7.47,1
6.07,1
1.35,0
9.48,1
7.65,1
3.23,0
2.18,0
3.91,0
5.97,1
1.55,0
7.82,1
9.86,1
4.17,0
0.07,0
7.34,1
7.39,1
9.61,1
9.82,1
0.4,0
6.19,1
5.63,1
2.27,0
8.18,1
0.17,0
8.56,1
4.0,1
0.23,0
3.65,0
0.6,0
6.86,1
0.75,0
2.37,1
6.77,1
5.56,1
1.54,0
4.82,1
0.66,0
9.13,1
9.84,1
9.83,1
2.1,0
9.96,1
8.31,1
2.43,0
1.08,0
0.8,0
3.47,0
9.51,1
4.95,1
1.86,0
5.3,1
3.57,0
7.87,1
8.52,1
0.4,0
3.13,0
9.18,1
3.7,0
6.56,1
8.81,1
7.71,1
1.25,0
9.92,1
1.09,0
7.09,1
9.34,1
6.26,1
3.65,0
9.01,1
4.15,0
7.18,1
2.54,0
0.12,0
4.72,1
3.06,0
6.5,1
3.06,0
7.08,1
6.5,0
5.14,1
5.8,1
9.38,1
4.93,0
4.97,1
2.34,0
1.78,0
9.71,1
5.78,1
8.5,1
0.02,0
6.08,1
7.47,1
8.77,1
9.69,1
9.19,1
9.35,1
1.13,0
5.53,1
6.06,1
1.56,0
9.75,1
4.29,1
4.09,0
2.14,0
9.89,1
0.64,0
7.27,1
5.4,1
0.96,0
0.68,0
0.8,0
0.11,0
4.71,0
9.78,1
4.08,1
7.14,1
6.52,1
3.82,0
1.07,0
5.78,1
2.8,0
4.41,0
3.32,0
4.52,0
8.71,1
6.66,1
4.19,1
5.84,1
6.71,1
4.1,1
9.61,1
0.63,0
9.23,1
0.18,0
2.51,0
5.76,1
3.31,0
0.47,0
0.02,0
2.19,0
3.76,0
2.58,0
7.18,1
0.01,0
6.71,1
1.58,0
2.09,0
8.89,1
1.9,0
5.68,1
1.54,0
6.93,1
1.04,0
3.8,0
6.52,1
0.5,0
9.0,1
4.41,0
0.14,0
5.5,0
5.01,1
3.7,0
5.15,1
1.52,0
1.49,0
5.72,1
1.82,0
0.31,0
1.74,0
9.73,1
3.98,0
1.65,0
5.66,0
5.46,1
1.15,0
2.81,0
6.56,1
7.2,1
5.62,1
1.17,0
4.22,0
3.43,0
2.48,0
3.44,0
6.06,0
6.18,0
3.73,0
0.46,0
0.83,0
6.72,1
0.72,0
7.38,1
0.01,0
6.88,1
5.91,1
0.17,0
2.1,0
0.0,0
1.27,0
7.65,1
4.77,1
8.05,1
2.29,0
6.82,1
3.21,0
4.51,0
3.41,0
6.6,1
4.54,0
8.32,1
6.25,1
8.41,1
3.14,0
6.49,1
6.44,1
2.45,0
9.73,1
6.54,1
0.77,0
5.02,1
3.89,0
0.78,0
4.62,0
1.54,0
5.06,0
2.18,0
0.13,0
5.55,0
8.3,1
3.16,0
0.54,0
2.89,0
5.52,1
9.84,1
5.62,0
0.61,0
2.29,0
5.57,0
8.88,1
0.79,0
4.01,1
6.1,1
6.51,1
0.64,0
6.17,1
2.22,0
4.05,0
1.74,0
5.73,1
2.19,0
8.78,1
3.23,0
7.1,1
7.61,1
5.1,1
0.33,0
4.42,0
9.26,1
2.35,0
5.97,0
3.76,0
0.25,0
3.63,0
1.46,0
0.68,0
4.91,1
9.05,1
6.0,1
6.51,1
6.51,1
4.72,0
8.98,1
2.93,0
7.76,1
4.83,1
8.55,1
0.0,0
9.69,1
9.28,1
9.15,1
6.73,1
6.57,1
5.41,1
2.49,0
9.42,1
3.1,1
3.57,0
9.16,1
1.16,0
1.43,0
9.14,1
5.36,1
2.99,0
3.79,0
9.41,1
8.06,1
5.27,1
7.58,1
5.05,0
8.34,1
5.48,1
6.69,1
8.25,1
8.49,1
8.39,1
6.76,1
1.68,0
5.43,1
2.74,0
3.68,0
5.75,1
2.2,0
5.97,0
1.38,0
5.79,0
7.91,1
3.37,0
7.04,1
6.59,0
2.25,0
2.33,0
6.51,1
9.51,1
0.48,0
5.94,1
0.06,0
2.93,0
1.59,0
8.93,1
4.94,0
8.17,1
8.81,1
2.77,0
2.99,0
2.72,0
5.37,1
0.57,0
0.36,0
4.94,1
0.36,0
3.95,0
3.31,0
4.63,0
1.48,0
0.63,0
1.94,0
6.25,0
0.46,0
2.24,0
0.81,0
6.8,1
3.54,0
0.39,0
3.26,0
3.71,0
7.7,1
9.65,1
5.12,0
6.96,1
1.24,0
2.75,0
4.55,1
9.51,1
8.67,1
5.95,1
7.25,1
3.28,0
3.94,0
9.49,1
6.44,1
7.67,1
3.26,0
5.07,0
0.69,0
1.59,0
3.15,0
3.37,0
7.26,1
3.49,1
7.24,1
8.95,1
6.23,1
2.61,0
0.87,0
9.53,1
8.89,1
2.25,0
4.64,0
0.72,0
0.05,0
8.36,1
6.28,1
6.93,1
5.54,0
5.39,0
4.71,1
7.46,1
7.29,1
9.33,1
2.02,0
9.0,1
8.92,1
6.99,1
3.2,0
5.08,0
8.43,1
5.37,1
4.79,0
8.77,1
1.96,0
5.52,1
0.92,0
3.95,0
4.81,0
8.78,1
6.83,1
5.94,1
7.99,1
2.64,0
0.04,0
7.83,1
7.84,1
7.25,1
1.73,0
8.12,1
9.75,1
